instances,CS_Default,Insert,Merge
10,0,0.631,25.8832
20,0.0286,0,0
30,0.0102,0.0011,0.0086
40,0.0112,0.0011,0.01
50,0.0101,0.0008,0.0119
60,0.0176,0.0017,0.0252
70,0.0123,0.0017,0.0265
80,0.0167,0.002,0.0395
90,0.015,0.0041,0.0683
100,0.0107,0.0022,0.0345
110,0.0296,0.0027,0.039
120,0.0222,0.0028,0.0402
130,0.0173,0.0508,0.0394
140,0.0192,0.0024,0.0417
150,0.0207,0.0042,0.0371
160,0.0249,0.004,0.047
170,0.0367,0.0026,0.0565
180,0.0266,0.0042,0.0501
190,0.0231,0.0033,0.0742
200,0.0257,0.0091,0.0686
210,0.0212,0.0028,0.0593
220,0.0302,0.1168,0.0782
230,0.0357,0.0042,0.07
240,0.0303,0.005,0.1292
250,0.0395,0.157,0.0891
260,0.0513,0.0045,0.09
270,0.0346,0.2108,0.1006
280,0.0288,0.0064,0.0721
290,0.0545,0.0056,0.088
300,0.0426,0.2367,0.1094
310,0.0565,0.2634,0.1092
320,0.0388,0.0065,0.1169
330,0.0734,0.3639,0.1293
340,0.0835,0.3309,0.1176
350,0.1025,0.0073,0.1262
360,0.0577,0.3908,0.103
370,0.0671,0.3982,0.1321
380,0.0857,0.5846,0.1999
390,0.0714,0.0075,0.1747
400,0.0648,0.5916,0.1865
410,0.1033,0.4573,0.1246
420,0.0997,0.4815,0.156
430,0.0992,0.6646,0.1741
440,0.095,0.5433,0.2344
450,0.1139,0.0185,0.2022
460,0.1099,0.7908,0.1678
470,0.1279,0.8246,0.1691
480,0.0674,0.5433,0.1953
490,0.1219,0.5625,0.159
500,0.0941,0.6446,0.1979
510,0.1084,0.8653,0.2999
520,0.1214,0.6623,0.1845
530,0.0947,0.8844,0.2171
540,0.1245,0.6904,0.2013
550,0.1095,0.9704,0.2422
560,0.1107,1.0862,0.2172
570,0.1055,0.8922,0.2358
580,0.1056,0.8065,0.217
590,0.1051,0.9695,0.2634
600,0.1184,0.9698,0.2308
610,0.1137,1.0111,0.2388
620,0.1121,0.9409,0.2382
630,0.1113,0.9882,0.2399
640,0.1176,0.97,0.253
650,0.1151,1.0859,0.2397
660,0.119,1.0512,0.2367
670,0.1212,1.1243,0.2614
680,0.1311,1.1438,0.2681
