instances,CS_Default,Insert,Merge
25,0.05820909,1.149518,84.90364
50,0.009536363,0.1022364,7.694345
75,0.01329091,0.001818182,0.02918182
100,0.0135,0.002509091,0.02868182
125,0.02093636,0.003536364,0.04243637
150,0.02369091,0.004372727,0.05513636
175,0.03220909,0.007418182,0.07297273
200,0.03293636,0.01041818,0.07483637
225,0.04089091,0.01374545,0.09291818
250,0.03931818,0.0152,0.1028909
275,0.03972727,0.01617273,0.1167909
300,0.05445455,0.02846364,0.1311182
325,0.05297273,0.02671818,0.1158091
350,0.06043636,0.02435455,0.1965
375,0.07053637,0.03438182,0.1535091
400,0.07225455,0.03283636,0.1550546
425,0.06963636,0.03902727,0.1605545
450,0.07961818,0.03422727,0.1933545
475,0.09590909,0.05069091,0.1859455
500,0.08969091,0.05385454,0.1912273
525,0.09449091,0.04915455,0.2098364
550,0.09397273,0.07797273,0.2170455
575,0.0891,0.07046364,0.2188091
600,0.0987,0.07042728,0.2208546
625,0.1448182,0.06458182,0.2308818
650,0.1110909,0.09212727,0.2461727
675,0.1235364,0.09615455,0.2569091
700,0.1244545,0.09891818,2.242064
725,0.1211636,0.2510727,0.2654182
750,0.1148364,0.1390546,0.2829091
775,0.1278364,0.1364,0.2863909
800,0.1295909,0.1584454,0.2939
825,0.1232273,0.1680546,0.3113636
850,0.1351273,0.3310454,0.3318818
875,0.1381818,0.2152455,0.3439909
900,0.1461364,0.3876,0.3486636
925,0.1555545,0.4000909,0.3506636
950,0.1527182,0.4258636,0.3372636
975,0.1522273,0.4506818,0.3523455
1000,0.1575091,0.4840182,0.3865091
1025,0.1715546,0.4977455,0.3785636
1050,0.1701182,0.5042636,0.8189727
1075,0.1717454,0.5606728,0.4349
1100,0.1749273,0.6191636,0.4290182
1125,0.1816091,0.6409909,0.4455182
1150,0.1897091,0.6839454,0.4477454
1175,0.1909636,0.7349818,0.4551273
1200,0.1988727,0.609,0.4777909
1225,0.1973636,0.8187454,0.4813636
1250,0.2169545,0.9180182,0.5048454
1275,0.2106455,0.7244636,0.5106091
1300,0.2207636,0.8317546,0.5243
1325,0.2257091,0.9320818,0.5397363
1350,0.2241091,1.022409,0.557
1375,0.2255273,1.086618,0.5308455
1400,0.2391182,1.162045,0.5477091
1425,0.2319455,1.2415,0.5515818
1450,0.2447636,1.359527,0.5586182
1475,0.3356546,1.375455,0.5850455
1500,0.2717454,1.565182,1.088127
1525,0.2694091,1.852436,1.5072
1550,0.2755727,1.897564,0.6301546
1575,0.2761909,2.086027,0.6425182
1600,0.2716636,2.238027,0.6693364
1625,0.3034455,2.3698,0.6875272
1650,0.3117,2.381927,0.6920091
1675,0.3129455,2.337927,0.6893909
1700,0.3025,2.392936,0.7265636
1725,0.3116,2.470818,0.7170182
1750,0.3111182,2.614945,0.7278273
1775,0.3211545,3.548436,0.7422364
1800,0.3299727,3.451382,0.7682
1825,0.3267545,3.560064,0.7882182
1850,0.3383909,4.086882,0.7859182
1875,0.3451182,4.241137,0.7932364
1900,0.3421909,5.062791,0.7645546
1925,0.3494273,5.210427,0.7649636
1950,0.3578273,5.6642,0.7819363
1975,0.3629455,5.884709,0.8011
2000,0.3671636,6.520336,0.7965546
2025,0.3775636,6.622755,2.083464
2050,0.3746637,7.235736,1.406509
2075,0.3859182,7.651155,0.8966454
2100,0.3928818,8.0245,0.9216909
2125,0.3951,8.888691,0.9325364
2150,0.4068182,9.340227,0.9516273
2175,0.4207091,10.29516,0.9570454
2200,0.4207727,10.93908,0.9892182
2225,0.4286273,11.18599,0.9789636
2250,0.4290454,11.83283,0.9836818
2275,0.4357454,13.14796,0.9963182
2300,0.4419,13.70598,1.004264
2325,0.4504182,15.69826,1.033518
2350,0.4595546,15.01852,1.050127
2375,0.4643364,15.71994,1.088773
2400,0.4734909,16.27096,1.059155
2425,0.4772818,16.90368,1.086073
2450,0.4845727,18.13691,1.082836
2475,0.4912182,18.42709,1.116064
2500,0.4930364,19.26939,1.133318
2525,0.5059182,19.67742,1.131145
2550,0.5097182,19.99051,1.076509
2575,0.5290091,19.84022,1.104382
2600,0.5280909,21.11202,1.110791
2625,0.5314364,21.55451,1.128273
2650,0.5483727,21.67874,1.148
2675,0.5502455,21.30308,1.141573
2700,0.5556636,21.79001,1.199327
2725,0.5687454,22.08358,1.233118
2750,0.5663273,22.25221,3.335282
2775,0.5790909,23.19254,4.062627
2800,0.6055545,24.13496,1.267518
2825,0.6179909,24.19707,1.270355
2850,0.6000818,24.23062,1.279682
2875,0.6050364,24.89768,1.300509
2900,0.6021818,25.53844,1.317736
2925,0.6221545,25.87357,1.365618
2950,0.611,26.4709,1.364055
2975,0.6210545,26.39906,1.351427
3000,0.9217637,27.21947,1.364773
3025,2.675418,28.16809,1.386891
3050,0.6552637,28.30935,1.371045
3075,0.6400727,29.20178,1.430264
3100,0.6591637,29.79673,1.408991
3125,0.6603273,29.57721,1.452945
3150,0.6599636,30.5246,1.467755
3175,0.6731909,30.23816,1.488373
3200,0.6901364,31.74842,1.478173
3225,0.6840454,32.22057,1.467482
3250,0.6892,32.13303,1.452145
3275,0.6858546,32.31199,1.5549
3300,0.6992273,32.85404,1.481273
3325,0.7106818,33.72256,1.517427
3350,0.7066182,34.43458,6.154355
3375,0.7166727,35.23203,6.993909
3400,0.7239091,35.15395,7.130927
3425,0.7437364,35.60772,1.723282
3450,0.7547182,36.78504,1.669464
3475,0.7302182,37.46246,1.677818
3500,0.7706636,38.14003,1.638155
3525,0.7649909,39.05473,1.691164
3550,0.7645091,41.29899,1.644118
3575,0.7759727,39.78988,1.687936
3600,0.7695909,39.76365,1.695136
3625,0.7737909,40.42875,1.647073
3650,0.7897636,41.51022,1.674155
3675,0.8087909,42.0589,1.679209
3700,0.8130273,41.96576,1.654591
3725,0.8080727,42.55676,1.699818
3750,0.8189818,43.78227,1.732373
3775,0.8164455,43.7538,1.722455
3800,0.8162636,45.49153,1.767718
3825,0.8221455,45.86684,3.592109
3850,0.8335636,45.92099,4.256336
3875,0.8633727,46.24342,1.841518
3900,0.8522273,47.29536,1.827964
3925,0.8671,48.66805,1.889809
3950,0.8498,49.1363,1.858845
3975,0.8455637,49.09854,1.914364
4000,0.8877182,50.93352,1.943218
4025,0.8825182,51.14622,1.914155
4050,0.8914909,51.69847,1.845982
4075,0.8946363,52.64614,1.897818
4100,0.9199,52.61229,1.877982
4125,0.8988273,55.17583,1.882073
4150,0.9296818,56.02404,1.927182
4175,0.9277363,58.29807,1.965491
4200,0.9254364,57.5511,1.980764
4225,1.020791,57.25446,2.557709
4250,1.044964,59.12603,3.130536
4275,1.014591,60.5622,2.094264
4300,1.053455,59.42152,2.134054
4325,1.058518,60.23749,2.116236
4350,1.054955,61.87461,2.121173
4375,1.074509,63.15133,2.129527
4400,1.1085,62.85876,2.1872
4425,1.121409,62.83652,2.165127
4450,1.083164,66.16104,2.095082
4475,1.044273,65.86304,2.152864
4500,1.078682,68.7147,2.140573
4525,1.029218,69.27892,2.132864
4550,1.023655,69.0977,2.143973
4575,1.070773,68.44513,2.201918
4600,1.898064,70.07835,2.442255
4625,1.189827,71.17587,5.896827
4650,1.096236,72.65607,2.264664
4675,1.168673,72.54357,2.361273
4700,1.161073,73.17632,2.312982
4725,1.118418,74.95913,2.354409
4750,1.131682,74.94037,2.3634
4775,1.130464,75.70264,2.367736
4800,1.1146,77.76366,2.336854
4825,1.127882,78.05997,2.276945
4850,1.1338,79.78093,2.361973
4875,1.135264,82.04551,2.374391
4900,1.140927,81.6306,2.396518
4925,1.173882,81.49265,2.359982
4950,1.180482,80.34679,2.648446
4975,1.1523,82.41521,4.323791
5000,1.1269,82.21442,2.466536
